time,value_temp,value_hum,value_acid,value_PV,label
2024-01-01 00:00:00+00:00,7.3666143,27.806671,9.615265,3.839805,0
2024-01-01 00:10:00+00:00,7.43484223025996,29.411554,9.651044,3.942446,0
2024-01-01 00:20:00+00:00,7.460521860519919,31.068245,9.540983,3.9954157,0
2024-01-01 00:30:00+00:00,7.397423090779879,30.088524,9.471957,3.991063,0
2024-01-01 00:40:00+00:00,7.548767921039839,30.570942,9.484596,4.0193267,0
2024-01-01 00:50:00+00:00,7.475161551299799,30.803717,9.525076,3.980003,0
2024-01-01 01:00:00+00:00,7.517881981559759,30.053583,9.518018,4.0144415,0
2024-01-01 01:10:00+00:00,7.617661211819718,29.182644,9.59321,4.073092,0
2024-01-01 01:20:00+00:00,7.633498842079678,27.68661,9.629016,4.1383667,0
2024-01-01 01:30:00+00:00,7.655464572339637,28.251047,9.676023,4.2679954,0
2024-01-01 01:40:00+00:00,7.607921302599597,26.963219,9.712953,4.479057,0
2024-01-01 01:50:00+00:00,7.744200532859557,27.246536,9.664634,4.5633245,0
2024-01-01 02:00:00+00:00,7.903086763119517,27.627632,9.587965,4.748867,0
2024-01-01 02:10:00+00:00,7.686730593379477,27.052532,9.590602,4.855794,0
2024-01-01 02:20:00+00:00,7.607984223639436,27.090261,9.539922,5.0759864,0
2024-01-01 02:30:00+00:00,7.776214453899396,25.443495,9.488455,5.159975,0
2024-01-01 02:40:00+00:00,7.686999684159355,24.356413,9.543091,5.2896914,0
2024-01-01 02:50:00+00:00,7.914498514419315,24.597816,9.475535,5.301385,0
2024-01-01 03:00:00+00:00,7.762489544679275,23.547966,9.465208,5.299976,0
2024-01-01 03:10:00+00:00,7.911001374939235,23.842974,9.475107,5.4325423,0
2024-01-01 03:20:00+00:00,8.152335605199195,23.672432,9.473002,5.4229755,0
2024-01-01 03:30:00+00:00,8.155787835459154,23.272308,9.428336,5.418533,0
2024-01-01 03:40:00+00:00,8.352108065719113,23.767685,9.458153,5.49262,0
2024-01-01 03:50:00+00:00,8.357800295979073,22.560732,9.408865,5.524701,0
2024-01-01 04:00:00+00:00,8.507402526239034,21.895668,9.487959,5.6903934,0
2024-01-01 04:10:00+00:00,8.729153756498993,20.562153,9.463624,5.774582,0
2024-01-01 04:20:00+00:00,8.955884986758953,19.447771,9.517705,5.8724537,0
2024-01-01 04:30:00+00:00,9.137887217018912,19.191727,9.511519,5.9823337,0
2024-01-01 04:40:00+00:00,9.422290447278872,19.9302,9.444672,6.0619316,0
2024-01-01 04:50:00+00:00,9.719896677538832,19.536842,9.447943,6.093366,1
2024-01-01 05:00:00+00:00,9.879892907798792,19.289045,9.478954,6.098895,1
2024-01-01 05:10:00+00:00,10.205610138058752,19.534813,9.460499,6.1040983,1
2024-01-01 05:20:00+00:00,10.26779836831871,19.205687,9.509543,6.101741,1
2024-01-01 05:30:00+00:00,10.42055659857867,18.870144,9.55049,6.239146,1
2024-01-01 05:40:00+00:00,10.695447828838631,19.309275,9.584899,6.3206763,1
2024-01-01 05:50:00+00:00,10.861364059098593,18.281307,9.616728,6.3023725,1
2024-01-01 06:00:00+00:00,11.07949828935855,18.772602,9.654872,6.225743,1
2024-01-01 06:10:00+00:00,11.47657951961851,19.881151,9.664495,6.152197,1
2024-01-01 06:20:00+00:00,11.78993474987847,20.194242,9.668993,6.077574,1
2024-01-01 06:30:00+00:00,11.74184198013843,20.698408,9.686019,5.9644976,1
2024-01-01 06:40:00+00:00,11.87334221039839,20.56458,9.7226,5.808736,1
2024-01-01 06:50:00+00:00,11.84387244065835,20.390232,9.720598,5.7060885,1
2024-01-01 07:00:00+00:00,11.795346670918308,20.39737,9.799909,5.6207075,1
2024-01-01 07:10:00+00:00,12.037469901178268,20.042196,9.768356,5.5007596,1
2024-01-01 07:20:00+00:00,12.045438131438228,20.406054,9.744673,5.3009086,1
2024-01-01 07:30:00+00:00,12.143080361698187,21.76994,9.704943,5.0388827,1
2024-01-01 07:40:00+00:00,12.184658591958147,21.667341,9.655081,4.872814,1
2024-01-01 07:50:00+00:00,12.518569822218106,23.105434,9.649272,4.660525,1
2024-01-01 08:00:00+00:00,12.489604052478066,23.76046,9.613283,4.398202,1
