time,value_acid
2023-09-10 17:58:22,9.58977471888868
2023-09-10 18:08:22,9.590192265347056
2023-09-10 18:18:22,9.59061134248649
2023-09-10 18:28:22,9.59106034382254
2023-09-10 18:38:22,9.59155289772137
2023-09-10 18:48:22,9.592086946503896
2023-09-10 18:58:22,9.592648190059073
2023-09-10 19:08:22,9.593216768602282
2023-09-10 19:18:22,9.59377500346048
2023-09-10 19:28:22,9.594313658738608
2023-09-10 19:38:22,9.594834705257087
2023-09-10 19:48:22,9.595349810759737
2023-09-10 19:58:22,9.595875310654264
2023-09-10 20:08:22,9.596425667475147
2023-09-10 20:18:22,9.597007930546702
2023-09-10 20:28:22,9.59761926502884
2023-09-10 20:38:22,9.598248399561516
2023-09-10 20:48:22,9.598880315340887
2023-09-10 20:58:22,9.599502259223028
2023-09-10 21:08:22,9.600108690011563
2023-09-10 21:18:22,9.600703238114209
2023-09-10 21:28:22,9.601296977853272
2023-09-10 21:38:22,9.601903786909508
2023-09-10 21:48:22,9.602534708656842
2023-09-10 21:58:22,9.60319358940287
2023-09-10 22:08:22,9.603875702191685
2023-09-10 22:18:22,9.604569830634258
2023-09-10 22:28:22,9.605262880001234
2023-09-10 22:38:22,9.605945080459167
2023-09-10 22:48:22,9.606613649931859
2023-09-10 22:58:22,9.60727346004414
2023-09-10 23:08:22,9.607934508849016
2023-09-10 23:18:22,9.608607323630913
2023-09-10 23:28:22,9.609298252746095
2023-09-10 23:38:22,9.61000661909795
2023-09-10 23:48:22,9.610724903870091
2023-09-10 23:58:22,9.611441849751825
2023-09-11 00:08:22,9.612147153782313
2023-09-11 00:18:22,9.612835766972369
2023-09-11 00:28:22,9.613509997584844
2023-09-11 00:38:22,9.614178545555761
2023-09-11 00:48:22,9.614852883268792
2023-09-11 00:58:22,9.615542502877757
2023-09-11 01:08:22,9.616251012522829
2023-09-11 01:18:22,9.616974694305002
2023-09-11 01:28:22,9.617704095796709
2023-09-11 01:38:22,9.61842795439965
2023-09-11 01:48:22,9.61913778496231
2023-09-11 01:58:22,9.619831200734794
2023-09-11 02:08:22,9.620512591454398
2023-09-11 02:18:22,9.621190912593343
2023-09-11 02:28:22,9.62187556673712
2023-09-11 02:38:22,9.62257216218956
2023-09-11 02:48:22,9.623279975344952
2023-09-11 02:58:22,9.623992205589634
2023-09-11 03:08:22,9.624698908702472
2023-09-11 03:18:22,9.625391339391564
2023-09-11 03:28:22,9.626065819687962
2023-09-11 03:38:22,9.626725442832969
2023-09-11 03:48:22,9.627378844693492
2023-09-11 03:58:22,9.628036536945784
2023-09-11 04:08:22,9.628706359682065
2023-09-11 04:18:22,9.629390016373502
2023-09-11 04:28:22,9.630082218081752
2023-09-11 04:38:22,9.630772861135213
2023-09-11 04:48:22,9.63145135622663
2023-09-11 04:58:22,9.63211127522912
2023-09-11 05:08:22,9.632753301546995
2023-09-11 05:18:22,9.633385155045863
2023-09-11 05:28:22,9.634018439291975
2023-09-11 05:38:22,9.634663693196451
2023-09-11 05:48:22,9.635325749563176
2023-09-11 05:58:22,9.636001442654216
2023-09-11 06:08:22,9.636680764863906
2023-09-11 06:18:22,9.6373511239937
2023-09-11 06:28:22,9.638002999472018
2023-09-11 06:38:22,9.638634618410144
2023-09-11 06:48:22,9.63925358297591
2023-09-11 06:58:22,9.639874583723207
2023-09-11 07:08:22,9.64051395368384
2023-09-11 07:18:22,9.641183187661055
2023-09-11 07:28:22,9.64188408473886
2023-09-11 07:38:22,9.642607613763339
2023-09-11 07:48:22,9.643337142906741
2023-09-11 07:58:22,9.644054888864108
2023-09-11 08:08:22,9.64474905840252
2023-09-11 08:18:22,9.645418763399702
2023-09-11 08:28:22,9.646074589612711
2023-09-11 08:38:22,9.646734404709484
2023-09-11 08:48:22,9.647415935418962
2023-09-11 08:58:22,9.648129038497988
2023-09-11 09:08:22,9.648870844261761
2023-09-11 09:18:22,9.649625917911605
2023-09-11 09:28:22,9.650371634155128
2023-09-11 09:38:22,9.651086849560189
2023-09-11 09:48:22,9.651760529982472
2023-09-11 09:58:22,9.652396845442766
2023-09-11 10:08:22,9.65301448638417
2023-09-11 10:18:22,9.653640138627809
